po_id,supplier_id,sku_id,order_date,expected_date,received_date,quantity_ordered,quantity_received,unit_purchase_cost,purchase_amount,purchase_status,is_simulated,simulation_seed
PO-000190,SUP-METAL-01,缄默德克萨斯-吧唧（徽章）,2026-07-31,2026-08-12,2026-08-12,24,24,5.4,129.6,received,True,20260903
PO-000191,SUP-PLUSH-01,缄默德克萨斯-毛绒玩偶,2026-06-23,2026-08-02,2026-08-02,27,27,61.44,1658.88,received,True,20260903
PO-000192,SUP-PLUSH-01,缄默德克萨斯-毛绒玩偶,2026-08-15,2026-09-24,,26,0,61.44,1597.44,open,True,20260903
PO-000193,SUP-FIGURE-01,缄默德克萨斯-手办模玩,2026-06-29,2026-09-27,,50,0,433.38,21669.0,open,True,20260903
PO-000194,SUP-DECOR-01,缄默德克萨斯-装饰摆件,2026-06-11,2026-07-06,2026-07-06,24,23,37.38,897.12,received,True,20260903
PO-000195,SUP-DECOR-01,缄默德克萨斯-装饰摆件,2026-07-22,2026-08-16,2026-08-16,24,24,37.38,897.12,received,True,20260903
PO-000196,SUP-LIFESTYLE-01,缄默德克萨斯-日用生活,2026-06-13,2026-07-13,2026-07-13,24,24,45.54,1092.96,received,True,20260903
PO-000197,SUP-LIFESTYLE-01,缄默德克萨斯-日用生活,2026-08-01,2026-08-31,,24,0,45.54,1092.96,open,True,20260903
PO-000198,SUP-ACRYLIC-01,死芒-亚克力制品,2026-06-17,2026-07-05,2026-07-05,24,24,16.8,403.2,received,True,20260903
PO-000199,SUP-ACRYLIC-01,死芒-亚克力制品,2026-08-09,2026-08-27,2026-08-27,24,24,16.8,403.2,received,True,20260903
PO-000200,SUP-PRINT-01,死芒-通行证,2026-06-20,2026-07-04,2026-07-04,24,24,12.48,299.52,received,True,20260903
PO-000201,SUP-METAL-01,死芒-吧唧（徽章）,2026-06-25,2026-07-07,2026-07-07,24,24,5.4,129.6,received,True,20260903
PO-000202,SUP-METAL-01,死芒-吧唧（徽章）,2026-08-12,2026-08-24,2026-08-24,24,24,5.4,129.6,received,True,20260903
PO-000203,SUP-PLUSH-01,死芒-毛绒玩偶,2026-06-17,2026-07-27,2026-07-27,26,26,61.44,1597.44,received,True,20260903
PO-000204,SUP-PLUSH-01,死芒-毛绒玩偶,2026-08-01,2026-09-10,,27,0,61.44,1658.88,open,True,20260903
PO-000205,SUP-FIGURE-01,死芒-手办模玩,2026-06-17,2026-09-15,,49,0,433.38,21235.62,open,True,20260903
PO-000206,SUP-DECOR-01,死芒-装饰摆件,2026-06-27,2026-07-22,2026-07-28,24,24,37.38,897.12,received,True,20260903
PO-000207,SUP-LIFESTYLE-01,死芒-日用生活,2026-06-17,2026-07-17,2026-07-17,24,24,45.54,1092.96,received,True,20260903
PO-000208,SUP-LIFESTYLE-01,死芒-日用生活,2026-07-30,2026-08-29,2026-08-29,24,24,45.54,1092.96,received,True,20260903
PO-000209,SUP-ACRYLIC-01,真言-亚克力制品,2026-06-22,2026-07-10,2026-07-10,24,24,16.8,403.2,received,True,20260903
PO-000210,SUP-ACRYLIC-01,真言-亚克力制品,2026-08-07,2026-08-25,2026-08-25,24,24,16.8,403.2,received,True,20260903
PO-000211,SUP-PRINT-01,真言-通行证,2026-06-27,2026-07-11,2026-07-11,24,24,12.48,299.52,received,True,20260903
PO-000212,SUP-PRINT-01,真言-通行证,2026-08-27,2026-09-10,,24,0,12.48,299.52,open,True,20260903
PO-000213,SUP-METAL-01,真言-吧唧（徽章）,2026-06-22,2026-07-04,2026-07-04,24,24,5.4,129.6,received,True,20260903
PO-000214,SUP-METAL-01,真言-吧唧（徽章）,2026-08-15,2026-08-27,2026-08-27,24,24,5.4,129.6,received,True,20260903
PO-000215,SUP-PLUSH-01,真言-毛绒玩偶,2026-06-18,2026-07-28,2026-08-01,26,26,61.44,1597.44,received,True,20260903
PO-000216,SUP-PLUSH-01,真言-毛绒玩偶,2026-08-20,2026-09-29,,26,0,61.44,1597.44,open,True,20260903
PO-000217,SUP-FIGURE-01,真言-手办模玩,2026-06-21,2026-09-19,,49,0,433.38,21235.62,open,True,20260903
PO-000218,SUP-DECOR-01,真言-装饰摆件,2026-06-15,2026-07-10,2026-07-10,24,24,37.38,897.12,received,True,20260903
PO-000219,SUP-DECOR-01,真言-装饰摆件,2026-08-02,2026-08-27,2026-08-27,24,24,37.38,897.12,received,True,20260903
PO-000220,SUP-LIFESTYLE-01,真言-日用生活,2026-06-20,2026-07-20,2026-07-20,24,24,45.54,1092.96,received,True,20260903
PO-000221,SUP-ACRYLIC-01,缪尔赛思-亚克力制品,2026-06-22,2026-07-10,2026-07-10,24,22,16.8,403.2,received,True,20260903
PO-000222,SUP-ACRYLIC-01,缪尔赛思-亚克力制品,2026-08-08,2026-08-26,2026-08-26,24,24,16.8,403.2,received,True,20260903
PO-000223,SUP-PRINT-01,缪尔赛思-通行证,2026-06-12,2026-06-26,2026-06-26,24,24,12.48,299.52,received,True,20260903
PO-000224,SUP-METAL-01,缪尔赛思-吧唧（徽章）,2026-06-22,2026-07-04,2026-07-04,24,24,5.4,129.6,received,True,20260903
PO-000225,SUP-METAL-01,缪尔赛思-吧唧（徽章）,2026-08-06,2026-08-18,2026-08-18,24,24,5.4,129.6,received,True,20260903
PO-000226,SUP-PLUSH-01,缪尔赛思-毛绒玩偶,2026-06-23,2026-08-02,2026-08-03,27,27,61.44,1658.88,received,True,20260903
PO-000227,SUP-FIGURE-01,缪尔赛思-手办模玩,2026-06-21,2026-09-19,,52,0,433.38,22535.76,open,True,20260903
PO-000228,SUP-DECOR-01,缪尔赛思-装饰摆件,2026-06-22,2026-07-17,2026-07-17,24,24,37.38,897.12,received,True,20260903
PO-000229,SUP-DECOR-01,缪尔赛思-装饰摆件,2026-08-21,2026-09-15,,24,0,37.38,897.12,open,True,20260903
PO-000230,SUP-LIFESTYLE-01,缪尔赛思-日用生活,2026-06-12,2026-07-12,2026-07-15,24,24,45.54,1092.96,received,True,20260903
PO-000231,SUP-LIFESTYLE-01,缪尔赛思-日用生活,2026-07-21,2026-08-20,2026-08-20,24,24,45.54,1092.96,received,True,20260903
PO-000232,SUP-ACRYLIC-01,贝洛内-亚克力制品,2026-06-10,2026-06-28,2026-06-28,24,22,16.8,403.2,received,True,20260903
PO-000233,SUP-ACRYLIC-01,贝洛内-亚克力制品,2026-07-22,2026-08-09,2026-08-09,24,24,16.8,403.2,received,True,20260903
PO-000234,SUP-ACRYLIC-01,贝洛内-亚克力制品,2026-08-29,2026-09-16,,24,0,16.8,403.2,open,True,20260903
PO-000235,SUP-PRINT-01,贝洛内-通行证,2026-06-26,2026-07-10,2026-07-10,24,24,12.48,299.52,received,True,20260903
PO-000236,SUP-PRINT-01,贝洛内-通行证,2026-08-14,2026-08-28,2026-08-29,24,24,12.48,299.52,received,True,20260903
PO-000237,SUP-METAL-01,贝洛内-吧唧（徽章）,2026-06-20,2026-07-02,2026-07-02,24,24,5.4,129.6,received,True,20260903
PO-000238,SUP-METAL-01,贝洛内-吧唧（徽章）,2026-08-07,2026-08-19,2026-08-19,24,24,5.4,129.6,received,True,20260903
PO-000239,SUP-PLUSH-01,贝洛内-毛绒玩偶,2026-06-27,2026-08-06,2026-08-06,25,25,61.44,1536.0,received,True,20260903
PO-000240,SUP-PLUSH-01,贝洛内-毛绒玩偶,2026-08-15,2026-09-24,,25,0,61.44,1536.0,open,True,20260903
PO-000241,SUP-FIGURE-01,贝洛内-手办模玩,2026-06-17,2026-09-15,,48,0,433.38,20802.24,open,True,20260903
PO-000242,SUP-DECOR-01,贝洛内-装饰摆件,2026-06-27,2026-07-22,2026-07-23,24,24,37.38,897.12,received,True,20260903
PO-000243,SUP-LIFESTYLE-01,贝洛内-日用生活,2026-06-19,2026-07-19,2026-07-19,24,24,45.54,1092.96,received,True,20260903
PO-000244,SUP-LIFESTYLE-01,贝洛内-日用生活,2026-08-09,2026-09-08,,24,0,45.54,1092.96,open,True,20260903
PO-000245,SUP-ACRYLIC-01,司霆惊蛰-亚克力制品,2026-06-10,2026-06-28,2026-06-28,24,24,16.8,403.2,received,True,20260903
PO-000246,SUP-ACRYLIC-01,司霆惊蛰-亚克力制品,2026-07-27,2026-08-14,2026-08-14,24,24,16.8,403.2,received,True,20260903
PO-000247,SUP-PRINT-01,司霆惊蛰-通行证,2026-06-22,2026-07-06,2026-07-06,24,24,12.48,299.52,received,True,20260903
PO-000248,SUP-METAL-01,司霆惊蛰-吧唧（徽章）,2026-06-21,2026-07-03,2026-07-03,24,24,5.4,129.6,received,True,20260903
PO-000249,SUP-METAL-01,司霆惊蛰-吧唧（徽章）,2026-08-12,2026-08-24,2026-08-24,24,23,5.4,129.6,received,True,20260903
PO-000250,SUP-PLUSH-01,司霆惊蛰-毛绒玩偶,2026-06-30,2026-08-09,2026-08-09,28,28,61.44,1720.32,received,True,20260903
PO-000251,SUP-FIGURE-01,司霆惊蛰-手办模玩,2026-06-23,2026-09-21,,48,0,433.38,20802.24,open,True,20260903
PO-000252,SUP-DECOR-01,司霆惊蛰-装饰摆件,2026-06-21,2026-07-16,2026-07-16,24,24,37.38,897.12,received,True,20260903
PO-000253,SUP-DECOR-01,司霆惊蛰-装饰摆件,2026-08-08,2026-09-02,,24,0,37.38,897.12,open,True,20260903
PO-000254,SUP-LIFESTYLE-01,司霆惊蛰-日用生活,2026-06-18,2026-07-18,2026-07-18,24,24,45.54,1092.96,received,True,20260903
PO-000255,SUP-LIFESTYLE-01,司霆惊蛰-日用生活,2026-07-28,2026-08-27,2026-08-27,24,24,45.54,1092.96,received,True,20260903
PO-000256,SUP-ACRYLIC-01,余-亚克力制品,2026-06-17,2026-07-05,2026-07-05,24,24,16.8,403.2,received,True,20260903
PO-000257,SUP-ACRYLIC-01,余-亚克力制品,2026-08-02,2026-08-20,2026-08-20,24,24,16.8,403.2,received,True,20260903
PO-000258,SUP-PRINT-01,余-通行证,2026-06-15,2026-06-29,2026-06-29,24,24,12.48,299.52,received,True,20260903
PO-000259,SUP-METAL-01,余-吧唧（徽章）,2026-06-20,2026-07-02,2026-07-02,24,24,5.4,129.6,received,True,20260903
PO-000260,SUP-METAL-01,余-吧唧（徽章）,2026-08-08,2026-08-20,2026-08-20,24,24,5.4,129.6,received,True,20260903
PO-000261,SUP-PLUSH-01,余-毛绒玩偶,2026-06-23,2026-08-02,2026-08-02,25,25,61.44,1536.0,received,True,20260903
PO-000262,SUP-PLUSH-01,余-毛绒玩偶,2026-08-11,2026-09-20,,25,0,61.44,1536.0,open,True,20260903
PO-000263,SUP-FIGURE-01,余-手办模玩,2026-06-18,2026-09-16,,48,0,433.38,20802.24,open,True,20260903
PO-000264,SUP-DECOR-01,余-装饰摆件,2026-06-28,2026-07-23,2026-07-23,24,24,37.38,897.12,received,True,20260903
PO-000265,SUP-DECOR-01,余-装饰摆件,2026-08-22,2026-09-16,,24,0,37.38,897.12,open,True,20260903
PO-000266,SUP-LIFESTYLE-01,余-日用生活,2026-06-16,2026-07-16,2026-07-16,24,24,45.54,1092.96,received,True,20260903
PO-000267,SUP-LIFESTYLE-01,余-日用生活,2026-07-23,2026-08-22,2026-08-22,24,24,45.54,1092.96,received,True,20260903
PO-000268,SUP-ACRYLIC-01,酒神-亚克力制品,2026-06-23,2026-07-11,2026-07-11,24,24,16.8,403.2,received,True,20260903
PO-000269,SUP-PRINT-01,酒神-通行证,2026-06-19,2026-07-03,2026-07-03,24,24,12.48,299.52,received,True,20260903
PO-000270,SUP-METAL-01,酒神-吧唧（徽章）,2026-06-22,2026-07-04,2026-07-04,24,24,5.4,129.6,received,True,20260903
PO-000271,SUP-METAL-01,酒神-吧唧（徽章）,2026-08-01,2026-08-13,2026-08-13,24,24,5.4,129.6,received,True,20260903
PO-000272,SUP-PLUSH-01,酒神-毛绒玩偶,2026-06-21,2026-07-31,2026-07-31,26,26,61.44,1597.44,received,True,20260903
PO-000273,SUP-FIGURE-01,酒神-手办模玩,2026-06-18,2026-09-16,,48,0,433.38,20802.24,open,True,20260903
PO-000274,SUP-DECOR-01,酒神-装饰摆件,2026-06-21,2026-07-16,2026-07-16,24,24,37.38,897.12,received,True,20260903
PO-000275,SUP-DECOR-01,酒神-装饰摆件,2026-08-21,2026-09-15,,24,0,37.38,897.12,open,True,20260903
PO-000276,SUP-LIFESTYLE-01,酒神-日用生活,2026-06-22,2026-07-22,2026-07-28,24,24,45.54,1092.96,received,True,20260903
PO-000277,SUP-LIFESTYLE-01,酒神-日用生活,2026-08-08,2026-09-07,,24,0,45.54,1092.96,open,True,20260903
PO-000278,SUP-ACRYLIC-01,斩业星熊-亚克力制品,2026-06-25,2026-07-13,2026-07-13,24,24,16.8,403.2,received,True,20260903
PO-000279,SUP-ACRYLIC-01,斩业星熊-亚克力制品,2026-08-22,2026-09-09,,24,0,16.8,403.2,open,True,20260903
PO-000280,SUP-PRINT-01,斩业星熊-通行证,2026-06-11,2026-06-25,2026-06-25,24,24,12.48,299.52,received,True,20260903
PO-000281,SUP-PRINT-01,斩业星熊-通行证,2026-08-06,2026-08-20,2026-08-20,24,24,12.48,299.52,received,True,20260903
PO-000282,SUP-METAL-01,斩业星熊-吧唧（徽章）,2026-06-27,2026-07-09,2026-07-09,24,24,5.4,129.6,received,True,20260903
PO-000283,SUP-METAL-01,斩业星熊-吧唧（徽章）,2026-08-27,2026-09-08,,24,0,5.4,129.6,open,True,20260903
PO-000284,SUP-PLUSH-01,斩业星熊-毛绒玩偶,2026-06-18,2026-07-28,2026-07-28,25,25,61.44,1536.0,received,True,20260903
PO-000285,SUP-FIGURE-01,斩业星熊-手办模玩,2026-06-24,2026-09-22,,47,0,433.38,20368.86,open,True,20260903
PO-000286,SUP-DECOR-01,斩业星熊-装饰摆件,2026-06-14,2026-07-09,2026-07-09,24,24,37.38,897.12,received,True,20260903
PO-000287,SUP-DECOR-01,斩业星熊-装饰摆件,2026-07-25,2026-08-19,2026-08-19,24,24,37.38,897.12,received,True,20260903
PO-000288,SUP-LIFESTYLE-01,斩业星熊-日用生活,2026-06-16,2026-07-16,2026-07-20,24,24,45.54,1092.96,received,True,20260903
PO-000289,SUP-LIFESTYLE-01,斩业星熊-日用生活,2026-07-29,2026-08-28,2026-08-28,24,24,45.54,1092.96,received,True,20260903
PO-000290,SUP-ACRYLIC-01,怒潮凛冬-亚克力制品,2026-06-23,2026-07-11,2026-07-11,24,24,16.8,403.2,received,True,20260903
PO-000291,SUP-ACRYLIC-01,怒潮凛冬-亚克力制品,2026-08-10,2026-08-28,2026-08-28,24,24,16.8,403.2,received,True,20260903
PO-000292,SUP-PRINT-01,怒潮凛冬-通行证,2026-06-14,2026-06-28,2026-06-28,24,24,12.48,299.52,received,True,20260903
PO-000293,SUP-PRINT-01,怒潮凛冬-通行证,2026-07-31,2026-08-14,2026-08-14,24,24,12.48,299.52,received,True,20260903
PO-000294,SUP-METAL-01,怒潮凛冬-吧唧（徽章）,2026-06-17,2026-06-29,2026-06-29,24,24,5.4,129.6,received,True,20260903
PO-000295,SUP-METAL-01,怒潮凛冬-吧唧（徽章）,2026-08-15,2026-08-27,2026-08-27,24,24,5.4,129.6,received,True,20260903
PO-000296,SUP-PLUSH-01,怒潮凛冬-毛绒玩偶,2026-06-16,2026-07-26,2026-07-26,24,24,61.44,1474.56,received,True,20260903
PO-000297,SUP-PLUSH-01,怒潮凛冬-毛绒玩偶,2026-08-26,2026-10-05,,24,0,61.44,1474.56,open,True,20260903
PO-000298,SUP-FIGURE-01,怒潮凛冬-手办模玩,2026-06-19,2026-09-17,,44,0,433.38,19068.72,open,True,20260903
PO-000299,SUP-DECOR-01,怒潮凛冬-装饰摆件,2026-06-15,2026-07-10,2026-07-10,24,24,37.38,897.12,received,True,20260903
PO-000300,SUP-LIFESTYLE-01,怒潮凛冬-日用生活,2026-06-21,2026-07-21,2026-07-21,24,24,45.54,1092.96,received,True,20260903
PO-000301,SUP-LIFESTYLE-01,怒潮凛冬-日用生活,2026-08-25,2026-09-24,,24,0,45.54,1092.96,open,True,20260903
PO-000302,SUP-ACRYLIC-01,塑心-亚克力制品,2026-06-12,2026-06-30,2026-06-30,24,24,16.8,403.2,received,True,20260903
PO-000303,SUP-ACRYLIC-01,塑心-亚克力制品,2026-08-03,2026-08-21,2026-08-21,24,24,16.8,403.2,received,True,20260903
PO-000304,SUP-PRINT-01,塑心-通行证,2026-06-23,2026-07-07,2026-07-07,24,24,12.48,299.52,received,True,20260903
PO-000305,SUP-METAL-01,塑心-吧唧（徽章）,2026-06-24,2026-07-06,2026-07-06,24,24,5.4,129.6,received,True,20260903
PO-000306,SUP-METAL-01,塑心-吧唧（徽章）,2026-08-25,2026-09-06,,24,0,5.4,129.6,open,True,20260903
PO-000307,SUP-PLUSH-01,塑心-毛绒玩偶,2026-06-19,2026-07-29,2026-07-29,25,25,61.44,1536.0,received,True,20260903
PO-000308,SUP-PLUSH-01,塑心-毛绒玩偶,2026-08-06,2026-09-15,,25,0,61.44,1536.0,open,True,20260903
PO-000309,SUP-FIGURE-01,塑心-手办模玩,2026-06-17,2026-09-15,,44,0,433.38,19068.72,open,True,20260903
PO-000310,SUP-DECOR-01,塑心-装饰摆件,2026-06-20,2026-07-15,2026-07-15,24,24,37.38,897.12,received,True,20260903
PO-000311,SUP-DECOR-01,塑心-装饰摆件,2026-08-13,2026-09-07,,24,0,37.38,897.12,open,True,20260903
PO-000312,SUP-LIFESTYLE-01,塑心-日用生活,2026-06-22,2026-07-22,2026-07-22,24,24,45.54,1092.96,received,True,20260903
PO-000313,SUP-LIFESTYLE-01,塑心-日用生活,2026-08-25,2026-09-24,,24,0,45.54,1092.96,open,True,20260903
PO-000314,SUP-ACRYLIC-01,佩佩-亚克力制品,2026-06-18,2026-07-06,2026-07-06,24,24,16.8,403.2,received,True,20260903
PO-000315,SUP-ACRYLIC-01,佩佩-亚克力制品,2026-08-10,2026-08-28,2026-08-28,24,24,16.8,403.2,received,True,20260903
PO-000316,SUP-PRINT-01,佩佩-通行证,2026-07-03,2026-07-17,2026-07-17,24,24,12.48,299.52,received,True,20260903
PO-000317,SUP-METAL-01,佩佩-吧唧（徽章）,2026-06-18,2026-06-30,2026-06-30,24,24,5.4,129.6,received,True,20260903
PO-000318,SUP-PLUSH-01,佩佩-毛绒玩偶,2026-06-25,2026-08-04,2026-08-04,24,24,61.44,1474.56,received,True,20260903
PO-000319,SUP-FIGURE-01,佩佩-手办模玩,2026-06-12,2026-09-10,,44,0,433.38,19068.72,open,True,20260903
PO-000320,SUP-DECOR-01,佩佩-装饰摆件,2026-06-22,2026-07-17,2026-07-17,24,24,37.38,897.12,received,True,20260903
PO-000321,SUP-DECOR-01,佩佩-装饰摆件,2026-08-21,2026-09-15,,24,0,37.38,897.12,open,True,20260903
PO-000322,SUP-LIFESTYLE-01,佩佩-日用生活,2026-06-27,2026-07-27,2026-07-27,24,24,45.54,1092.96,received,True,20260903
PO-000323,SUP-LIFESTYLE-01,佩佩-日用生活,2026-08-22,2026-09-21,,24,0,45.54,1092.96,open,True,20260903
PO-000324,SUP-ACRYLIC-01,娜斯提-亚克力制品,2026-06-19,2026-07-07,2026-07-12,24,24,16.8,403.2,received,True,20260903
PO-000325,SUP-ACRYLIC-01,娜斯提-亚克力制品,2026-08-28,2026-09-15,,24,0,16.8,403.2,open,True,20260903
PO-000326,SUP-PRINT-01,娜斯提-通行证,2026-07-17,2026-07-31,2026-07-31,24,24,12.48,299.52,received,True,20260903
PO-000327,SUP-METAL-01,娜斯提-吧唧（徽章）,2026-06-23,2026-07-05,2026-07-05,24,24,5.4,129.6,received,True,20260903
PO-000328,SUP-METAL-01,娜斯提-吧唧（徽章）,2026-07-28,2026-08-09,2026-08-09,24,24,5.4,129.6,received,True,20260903
PO-000329,SUP-PLUSH-01,娜斯提-毛绒玩偶,2026-07-04,2026-08-13,2026-08-13,24,22,61.44,1474.56,received,True,20260903
PO-000330,SUP-FIGURE-01,娜斯提-手办模玩,2026-06-20,2026-09-18,,46,0,433.38,19935.48,open,True,20260903
PO-000331,SUP-DECOR-01,娜斯提-装饰摆件,2026-06-13,2026-07-08,2026-07-08,24,24,37.38,897.12,received,True,20260903
PO-000332,SUP-DECOR-01,娜斯提-装饰摆件,2026-08-02,2026-08-27,2026-08-27,24,24,37.38,897.12,received,True,20260903
PO-000333,SUP-LIFESTYLE-01,娜斯提-日用生活,2026-06-17,2026-07-17,2026-07-24,24,24,45.54,1092.96,received,True,20260903
PO-000334,SUP-ACRYLIC-01,谬因-亚克力制品,2026-06-22,2026-07-10,2026-07-10,24,22,16.8,403.2,received,True,20260903
PO-000335,SUP-ACRYLIC-01,谬因-亚克力制品,2026-08-27,2026-09-14,,24,0,16.8,403.2,open,True,20260903
PO-000336,SUP-PRINT-01,谬因-通行证,2026-06-24,2026-07-08,2026-07-08,24,24,12.48,299.52,received,True,20260903
PO-000337,SUP-METAL-01,谬因-吧唧（徽章）,2026-06-19,2026-07-01,2026-07-01,24,24,5.4,129.6,received,True,20260903
PO-000338,SUP-METAL-01,谬因-吧唧（徽章）,2026-08-16,2026-08-28,2026-08-28,24,24,5.4,129.6,received,True,20260903
PO-000339,SUP-PLUSH-01,谬因-毛绒玩偶,2026-06-21,2026-07-31,2026-07-31,27,27,61.44,1658.88,received,True,20260903
PO-000340,SUP-PLUSH-01,谬因-毛绒玩偶,2026-08-18,2026-09-27,,24,0,61.44,1474.56,open,True,20260903
PO-000341,SUP-FIGURE-01,谬因-手办模玩,2026-06-20,2026-09-18,,43,0,433.38,18635.34,open,True,20260903
PO-000342,SUP-DECOR-01,谬因-装饰摆件,2026-06-30,2026-07-25,2026-07-25,24,24,37.38,897.12,received,True,20260903
PO-000343,SUP-DECOR-01,谬因-装饰摆件,2026-08-27,2026-09-21,,24,0,37.38,897.12,open,True,20260903
PO-000344,SUP-LIFESTYLE-01,谬因-日用生活,2026-06-19,2026-07-19,2026-07-19,24,24,45.54,1092.96,received,True,20260903
PO-000345,SUP-LIFESTYLE-01,谬因-日用生活,2026-08-25,2026-09-24,,24,0,45.54,1092.96,open,True,20260903
PO-000346,SUP-ACRYLIC-01,缇缇-亚克力制品,2026-06-16,2026-07-04,2026-07-04,24,24,16.8,403.2,received,True,20260903
PO-000347,SUP-ACRYLIC-01,缇缇-亚克力制品,2026-08-12,2026-08-30,,24,0,16.8,403.2,open,True,20260903
PO-000348,SUP-PRINT-01,缇缇-通行证,2026-06-21,2026-07-05,2026-07-05,24,24,12.48,299.52,received,True,20260903
PO-000349,SUP-METAL-01,缇缇-吧唧（徽章）,2026-06-29,2026-07-11,2026-07-11,24,24,5.4,129.6,received,True,20260903
PO-000350,SUP-PLUSH-01,缇缇-毛绒玩偶,2026-06-21,2026-07-31,2026-08-02,24,24,61.44,1474.56,received,True,20260903
PO-000351,SUP-PLUSH-01,缇缇-毛绒玩偶,2026-08-04,2026-09-13,,24,0,61.44,1474.56,open,True,20260903
PO-000352,SUP-FIGURE-01,缇缇-手办模玩,2026-06-16,2026-09-14,,41,0,433.38,17768.58,open,True,20260903
PO-000353,SUP-DECOR-01,缇缇-装饰摆件,2026-06-19,2026-07-14,2026-07-14,24,24,37.38,897.12,received,True,20260903
PO-000354,SUP-LIFESTYLE-01,缇缇-日用生活,2026-06-25,2026-07-25,2026-07-25,24,24,45.54,1092.96,received,True,20260903
PO-000355,SUP-LIFESTYLE-01,缇缇-日用生活,2026-08-05,2026-09-04,,24,0,45.54,1092.96,open,True,20260903
