operator,scenario,score,rank,in_top_k
斩业星熊,perturb_026,59.2901587362,25.0,False
斯卡蒂,perturb_026,45.5064176972,36.0,False
新约能天使,perturb_026,94.9134451856,1.0,True
望,perturb_026,66.4215542614,14.0,False
棘刺,perturb_026,63.531940162,17.0,False
死芒,perturb_026,57.2529179256,28.0,False
泥岩,perturb_026,58.80889004,27.0,False
浊心斯卡蒂,perturb_026,72.3058295579,8.0,True
温蒂,perturb_026,45.8828241407,35.0,False
焰狐龙梓兰,perturb_026,71.3572195678,10.0,True
煌,perturb_026,30.591099222,50.0,False
玛恩纳,perturb_026,68.7221241016,13.0,False
真言,perturb_026,53.5808379106,32.0,False
纯烬艾雅法拉,perturb_026,62.0804696906,22.0,False
结城理,perturb_026,64.3617242035,16.0,False
维什戴尔,perturb_026,92.7658413612,2.0,True
维娜·维多利亚,perturb_026,63.4103333845,18.0,False
缄默德克萨斯,perturb_026,35.6914863929,45.0,False
缇缇,perturb_026,32.0896677967,47.0,False
缪尔赛思,perturb_026,41.1590486118,40.0,False
能天使,perturb_026,71.2316523292,11.0,False
艾雅法拉,perturb_026,26.4416507313,54.0,False
荒芜拉普兰德,perturb_026,61.6049463677,23.0,False
诗怀雅,perturb_026,28.5717495906,51.0,False
谬因,perturb_026,30.8678161397,48.0,False
贝洛内,perturb_026,41.5774839241,39.0,False
赤刃明霄陈,perturb_026,71.8648043873,9.0,True
逻各斯,perturb_026,64.9377429004,15.0,False
酒神,perturb_026,55.5423685701,30.0,False
重岳,perturb_026,56.3905741419,29.0,False
铃兰,perturb_026,30.7362752324,49.0,False
银灰,perturb_026,46.1153846219,34.0,False
锏,perturb_026,32.6609342329,46.0,False
阿米娅,perturb_026,76.2044637902,5.0,True
陈,perturb_026,18.8342462275,57.0,False
霍尔海雅,perturb_026,18.1881049036,58.0,False
黍,perturb_026,39.8788135623,42.0,False
Mon3tr,perturb_027,58.9546473761,24.0,False
W,perturb_027,60.390625,22.0,False
予愿安洁莉娜,perturb_027,75.4513489096,7.0,True
令,perturb_027,58.3449726058,26.0,False
伊芙利特,perturb_027,23.7799435352,55.0,False
余,perturb_027,27.3537926269,53.0,False
佩佩,perturb_027,38.9280989052,43.0,False
凛御银灰,perturb_027,76.8177338356,4.0,True
凯尔希,perturb_027,66.4947847178,15.0,False
凯尔希·思衡托,perturb_027,82.5857312976,3.0,True
史尔特尔,perturb_027,65.9453298445,16.0,False
司霆惊蛰,perturb_027,43.6032052684,35.0,False
塑心,perturb_027,40.4110550711,41.0,False
塞雷娅,perturb_027,75.6742472607,6.0,True
夕,perturb_027,21.5940982376,56.0,False
夜莺,perturb_027,15.8914282393,59.0,False
娜斯提,perturb_027,36.4670175042,44.0,False
年,perturb_027,15.6037016637,60.0,False
幽灵鲨,perturb_027,44.6149479847,34.0,False
归溟幽灵鲨,perturb_027,54.030940743,31.0,False
德克萨斯,perturb_027,56.3410371211,29.0,False
怒潮凛冬,perturb_027,27.8832715353,52.0,False
拉普兰德,perturb_027,39.6250024372,42.0,False
斩业星熊,perturb_027,59.5685274,23.0,False
斯卡蒂,perturb_027,42.7573043292,37.0,False
新约能天使,perturb_027,94.6142040931,1.0,True
望,perturb_027,66.6083990874,14.0,False
棘刺,perturb_027,68.0514462188,13.0,False
死芒,perturb_027,57.4858376224,27.0,False
泥岩,perturb_027,58.4878841853,25.0,False
浊心斯卡蒂,perturb_027,70.0333644839,10.0,True
温蒂,perturb_027,43.4196783844,36.0,False
焰狐龙梓兰,perturb_027,71.400114847,9.0,True
煌,perturb_027,26.688821727,54.0,False
玛恩纳,perturb_027,69.4817489378,11.0,False
真言,perturb_027,53.7758528685,32.0,False
纯烬艾雅法拉,perturb_027,61.6655037643,21.0,False
结城理,perturb_027,64.568998532,18.0,False
维什戴尔,perturb_027,92.1511765731,2.0,True
维娜·维多利亚,perturb_027,63.0496959149,19.0,False
缄默德克萨斯,perturb_027,35.4223143435,45.0,False
缇缇,perturb_027,32.497590218,47.0,False
缪尔赛思,perturb_027,40.7448942043,40.0,False
能天使,perturb_027,68.9916617244,12.0,False
艾雅法拉,perturb_027,28.0498847221,51.0,False
荒芜拉普兰德,perturb_027,62.1808314779,20.0,False
诗怀雅,perturb_027,30.7609988373,50.0,False
谬因,perturb_027,31.1945713461,49.0,False
贝洛内,perturb_027,41.7464445899,38.0,False
赤刃明霄陈,perturb_027,71.7352172483,8.0,True
逻各斯,perturb_027,65.5900097053,17.0,False
酒神,perturb_027,55.9685340031,30.0,False
重岳,perturb_027,56.3417369485,28.0,False
铃兰,perturb_027,32.1420779106,48.0,False
银灰,perturb_027,48.4137010825,33.0,False
锏,perturb_027,33.008111946,46.0,False
阿米娅,perturb_027,75.965178228,5.0,True
陈,perturb_027,17.0893844536,58.0,False
霍尔海雅,perturb_027,19.4551433205,57.0,False
黍,perturb_027,41.675082829,39.0,False
Mon3tr,perturb_028,58.8868698635,26.0,False
W,perturb_028,60.390625,24.0,False
予愿安洁莉娜,perturb_028,78.2910665849,4.0,True
令,perturb_028,65.4742759745,17.0,False
伊芙利特,perturb_028,20.8275131393,56.0,False
余,perturb_028,29.1396678222,49.0,False
佩佩,perturb_028,35.8081985989,44.0,False
凛御银灰,perturb_028,75.9255967598,6.0,True
凯尔希,perturb_028,61.3066443885,23.0,False
凯尔希·思衡托,perturb_028,81.8998425939,3.0,True
史尔特尔,perturb_028,72.5757289414,10.0,True
司霆惊蛰,perturb_028,41.3765094003,40.0,False
塑心,perturb_028,37.9148501961,43.0,False
塞雷娅,perturb_028,74.6577201383,7.0,True
夕,perturb_028,26.155398223,53.0,False
夜莺,perturb_028,13.00907649,60.0,False
娜斯提,perturb_028,32.6953145566,45.0,False
年,perturb_028,17.3194682615,59.0,False
幽灵鲨,perturb_028,53.662364242,31.0,False
归溟幽灵鲨,perturb_028,57.2563320335,27.0,False
德克萨斯,perturb_028,66.0217910802,16.0,False
怒潮凛冬,perturb_028,26.0123631352,54.0,False
拉普兰德,perturb_028,44.8072642046,37.0,False
斩业星熊,perturb_028,56.6016157049,29.0,False
斯卡蒂,perturb_028,46.7384830683,35.0,False
新约能天使,perturb_028,95.3067036281,1.0,True
望,perturb_028,64.6169676825,19.0,False
棘刺,perturb_028,61.5064409693,22.0,False
死芒,perturb_028,55.0033305649,30.0,False
泥岩,perturb_028,58.9527546773,25.0,False
浊心斯卡蒂,perturb_028,73.3242762896,8.0,True
温蒂,perturb_028,46.9867279032,34.0,False
焰狐龙梓兰,perturb_028,70.9429279507,12.0,False
煌,perturb_028,32.3399761603,47.0,False
玛恩纳,perturb_028,68.381684356,13.0,False
真言,perturb_028,51.6973424809,32.0,False
纯烬艾雅法拉,perturb_028,66.0882977782,15.0,False
结城理,perturb_028,62.3598251967,20.0,False
维什戴尔,perturb_028,93.0413146134,2.0,True
维娜·维多利亚,perturb_028,66.8934458247,14.0,False
缄默德克萨斯,perturb_028,38.2912065911,42.0,False
缇缇,perturb_028,28.1498673599,50.0,False
缪尔赛思,perturb_028,42.0351001182,38.0,False
能天使,perturb_028,72.2355450344,11.0,False
艾雅法拉,perturb_028,25.7208912923,55.0,False
荒芜拉普兰德,perturb_028,61.7034693047,21.0,False
诗怀雅,perturb_028,27.5905975519,52.0,False
谬因,perturb_028,27.7119457162,51.0,False
贝洛内,perturb_028,39.9456263209,41.0,False
赤刃明霄陈,perturb_028,73.1163841988,9.0,True
逻各斯,perturb_028,64.6454176174,18.0,False
酒神,perturb_028,51.4263732938,33.0,False
重岳,perturb_028,56.8622540141,28.0,False
铃兰,perturb_028,30.1062390838,48.0,False
银灰,perturb_028,45.0853521191,36.0,False
锏,perturb_028,32.5053401993,46.0,False
阿米娅,perturb_028,76.3117039857,5.0,True
陈,perturb_028,19.6162379032,57.0,False
霍尔海雅,perturb_028,17.6202584934,58.0,False
黍,perturb_028,42.0181084065,39.0,False
Mon3tr,perturb_029,59.0185003137,27.0,False
W,perturb_029,60.390625,23.0,False
予愿安洁莉娜,perturb_029,72.7760616586,7.0,True
令,perturb_029,62.0594309719,20.0,False
伊芙利特,perturb_029,22.2416894847,56.0,False
余,perturb_029,25.6713263792,54.0,False
佩佩,perturb_029,41.8673451501,41.0,False
凛御银灰,perturb_029,77.658212791,4.0,True
凯尔希,perturb_029,63.7916971573,18.0,False
凯尔希·思衡托,perturb_029,79.9668115084,3.0,True
史尔特尔,perturb_029,69.3998526952,12.0,False
司霆惊蛰,perturb_029,45.7009669999,35.0,False
塑心,perturb_029,42.7627202159,39.0,False
塞雷娅,perturb_029,75.1446236104,6.0,True
夕,perturb_029,23.9705939505,55.0,False
夜莺,perturb_029,14.3896860612,60.0,False
娜斯提,perturb_029,40.0203245451,43.0,False
年,perturb_029,16.4976380364,59.0,False
幽灵鲨,perturb_029,49.3287677327,33.0,False
归溟幽灵鲨,perturb_029,50.9923118419,32.0,False
德克萨斯,perturb_029,61.3848339234,22.0,False
怒潮凛冬,perturb_029,29.6458472428,50.0,False
拉普兰德,perturb_029,42.3250271917,40.0,False
斩业星熊,perturb_029,62.3636436545,19.0,False
斯卡蒂,perturb_029,44.8315494426,37.0,False
新约能天使,perturb_029,94.5199837668,1.0,True
望,perturb_029,68.4845190605,14.0,False
棘刺,perturb_029,64.6414146564,17.0,False
死芒,perturb_029,59.8245981052,25.0,False
泥岩,perturb_029,58.7300876656,28.0,False
浊心斯卡蒂,perturb_029,71.7479716842,9.0,True
温蒂,perturb_029,45.2781568699,36.0,False
焰狐龙梓兰,perturb_029,71.8308288879,8.0,True
煌,perturb_029,29.6331455659,51.0,False
玛恩纳,perturb_029,68.9086012012,13.0,False
真言,perturb_029,55.734009621,31.0,False
纯烬艾雅法拉,perturb_029,57.4988062994,29.0,False
结城理,perturb_029,66.6502523518,15.0,False
维什戴尔,perturb_029,92.6149498929,2.0,True
维娜·维多利亚,perturb_029,59.4285137041,26.0,False
缄默德克萨斯,perturb_029,32.7195418385,48.0,False
缇缇,perturb_029,36.5935634319,45.0,False
缪尔赛思,perturb_029,40.252297705,42.0,False
能天使,perturb_029,70.6817664761,10.0,True
艾雅法拉,perturb_029,26.8364493158,53.0,False
荒芜拉普兰德,perturb_029,61.4029644955,21.0,False
诗怀雅,perturb_029,29.1091791616,52.0,False
谬因,perturb_029,34.4755397425,46.0,False
贝洛内,perturb_029,43.4429886506,38.0,False
赤刃明霄陈,perturb_029,70.4340251029,11.0,False
逻各斯,perturb_029,65.0978651293,16.0,False
酒神,perturb_029,60.2476863791,24.0,False
重岳,perturb_029,55.8513597953,30.0,False
铃兰,perturb_029,31.0813798071,49.0,False
银灰,perturb_029,46.6795886436,34.0,False
锏,perturb_029,32.7461614265,47.0,False
阿米娅,perturb_029,76.145722586,5.0,True
陈,perturb_029,18.4059074644,58.0,False
霍尔海雅,perturb_029,18.4991448246,57.0,False
黍,perturb_029,37.0202743094,44.0,False
Mon3tr,perturb_030,58.8831758048,26.0,False
W,perturb_030,60.390625,24.0,False
予愿安洁莉娜,perturb_030,78.4458389169,4.0,True
令,perturb_030,64.4389298487,19.0,False
伊芙利特,perturb_030,21.2562769629,56.0,False
余,perturb_030,29.2370028746,49.0,False
佩佩,perturb_030,35.638155552,44.0,False
凛御银灰,perturb_030,75.8769728642,6.0,True
凯尔希,perturb_030,62.0600870058,23.0,False
凯尔希·思衡托,perturb_030,83.7079264777,3.0,True
史尔特尔,perturb_030,71.6128357018,11.0,False
司霆惊蛰,perturb_030,41.2551484231,40.0,False
塑心,perturb_030,37.7788002455,43.0,False
塞雷娅,perturb_030,74.8053442978,7.0,True
夕,perturb_030,25.492987883,55.0,False
夜莺,perturb_030,13.4276632105,60.0,False
娜斯提,perturb_030,32.489746494,46.0,False
年,perturb_030,17.0702977314,59.0,False
幽灵鲨,perturb_030,52.3484620435,31.0,False
归溟幽灵鲨,perturb_030,57.4321246258,27.0,False
德克萨斯,perturb_030,64.6159130319,17.0,False
怒潮凛冬,perturb_030,25.910393542,54.0,False
拉普兰德,perturb_030,44.0546752957,37.0,False
斩业星熊,perturb_030,56.4399109531,29.0,False
斯卡蒂,perturb_030,46.1603202703,35.0,False
新约能天使,perturb_030,95.0735418617,1.0,True
望,perturb_030,64.508429258,18.0,False
棘刺,perturb_030,62.4569329708,20.0,False
死芒,perturb_030,54.8680271826,30.0,False
泥岩,perturb_030,58.8852443137,25.0,False
浊心斯卡蒂,perturb_030,72.8463568335,9.0,True
温蒂,perturb_030,46.4687066172,34.0,False
焰狐龙梓兰,perturb_030,70.9180100222,12.0,False
煌,perturb_030,31.5192927715,47.0,False
玛恩纳,perturb_030,68.5414401616,13.0,False
真言,perturb_030,51.5840580151,32.0,False
纯烬艾雅法拉,perturb_030,66.3293520736,15.0,False
结城理,perturb_030,62.2394192452,22.0,False
维什戴尔,perturb_030,92.912045185,2.0,True
维娜·维多利亚,perturb_030,67.1029406425,14.0,False
缄默德克萨斯,perturb_030,38.4475690166,42.0,False
缇缇,perturb_030,27.9129046465,51.0,False
缪尔赛思,perturb_030,42.0289832951,39.0,False
能天使,perturb_030,71.7644552457,10.0,True
艾雅法拉,perturb_030,26.0591170907,53.0,False
荒芜拉普兰德,perturb_030,62.3542865399,21.0,False
诗怀雅,perturb_030,28.0510159852,50.0,False
谬因,perturb_030,27.5221331532,52.0,False
贝洛内,perturb_030,39.8474768305,41.0,False
赤刃明霄陈,perturb_030,73.1916615518,8.0,True
逻各斯,perturb_030,64.7825950818,16.0,False
酒神,perturb_030,51.178813189,33.0,False
重岳,perturb_030,56.890623609,28.0,False
铃兰,perturb_030,30.401891791,48.0,False
银灰,perturb_030,45.5687083499,36.0,False
锏,perturb_030,32.5783547356,45.0,False
阿米娅,perturb_030,76.2613801207,5.0,True
陈,perturb_030,19.2492780764,57.0,False
霍尔海雅,perturb_030,17.8867278521,58.0,False
黍,perturb_030,42.7576308633,38.0,False
Mon3tr,perturb_031,58.9220107013,25.0,False
W,perturb_031,60.390625,24.0,False
予愿安洁莉娜,perturb_031,76.8187484926,4.0,True
令,perturb_031,63.0319625523,21.0,False
伊芙利特,perturb_031,21.838938802,56.0,False
余,perturb_031,28.2137390288,52.0,False
佩佩,perturb_031,37.4257839339,43.0,False
凛御银灰,perturb_031,76.3881461072,5.0,True
凯尔希,perturb_031,63.0839659734,20.0,False
凯尔希·思衡托,perturb_031,83.6031635159,3.0,True
史尔特尔,perturb_031,70.3043271127,12.0,False
司霆惊蛰,perturb_031,42.5309919889,38.0,False
塑心,perturb_031,39.2090660372,42.0,False
塞雷娅,perturb_031,75.0059558223,7.0,True
夕,perturb_031,24.5928157937,55.0,False
夜莺,perturb_031,13.9964950358,60.0,False
娜斯提,perturb_031,34.6508422264,45.0,False
年,perturb_031,16.7316913674,59.0,False
幽灵鲨,perturb_031,50.562955363,33.0,False
归溟幽灵鲨,perturb_031,55.5840524287,30.0,False
德克萨斯,perturb_031,62.7054172202,22.0,False
怒潮凛冬,perturb_031,26.9823793838,53.0,False
拉普兰德,perturb_031,43.0319564617,37.0,False
斩业星熊,perturb_031,58.1398805137,27.0,False
斯卡蒂,perturb_031,45.3746350501,36.0,False
新约能天使,perturb_031,94.7419807515,1.0,True
望,perturb_031,65.6494719038,14.0,False
棘刺,perturb_031,63.7485890927,18.0,False
死芒,perturb_031,56.2904444519,29.0,False
泥岩,perturb_031,58.7935021692,26.0,False
浊心斯卡蒂,perturb_031,72.1968957226,9.0,True
温蒂,perturb_031,45.7647497565,35.0,False
焰狐龙梓兰,perturb_031,71.1799671975,10.0,True
煌,perturb_031,30.4040380174,49.0,False
玛恩纳,perturb_031,68.7585377952,13.0,False
真言,perturb_031,52.7749948389,32.0,False
纯烬艾雅法拉,perturb_031,63.7951967063,17.0,False
结城理,perturb_031,63.5052228181,19.0,False
维什戴尔,perturb_031,92.7363765331,2.0,True
维娜·维多利亚,perturb_031,64.9005637211,16.0,False
缄默德克萨斯,perturb_031,36.803762259,44.0,False
缇缇,perturb_031,30.404046034,48.0,False
缪尔赛思,perturb_031,41.4628744675,39.0,False
能天使,perturb_031,71.1242752036,11.0,False
艾雅法拉,perturb_031,26.5187437078,54.0,False
荒芜拉普兰德,perturb_031,62.4482401704,23.0,False
诗怀雅,perturb_031,28.6766943573,51.0,False
谬因,perturb_031,29.5175944848,50.0,False
贝洛内,perturb_031,40.8793027006,41.0,False
赤刃明霄陈,perturb_031,72.4002858671,8.0,True
逻各斯,perturb_031,64.9690102345,15.0,False
酒神,perturb_031,53.7813628227,31.0,False
重岳,perturb_031,56.5923797588,28.0,False
铃兰,perturb_031,30.803664377,47.0,False
银灰,perturb_031,46.2255576801,34.0,False
锏,perturb_031,32.6775766888,46.0,False
阿米娅,perturb_031,76.1929932975,6.0,True
陈,perturb_031,18.7506038045,57.0,False
霍尔海雅,perturb_031,18.2488421866,58.0,False
黍,perturb_031,41.3448897563,40.0,False
Mon3tr,perturb_032,58.9349821551,26.0,False
W,perturb_032,60.390625,24.0,False
予愿安洁莉娜,perturb_032,76.2752752199,6.0,True
令,perturb_032,66.5046421309,15.0,False
伊芙利特,perturb_032,20.4008116509,56.0,False
余,perturb_032,27.8719531374,51.0,False
佩佩,perturb_032,38.0228793581,43.0,False
凛御银灰,perturb_032,76.5588858468,4.0,True
凯尔希,perturb_032,60.556825797,23.0,False
凯尔希·思衡托,perturb_032,80.9512771809,3.0,True
史尔特尔,perturb_032,73.533990707,9.0,True
司霆惊蛰,perturb_032,42.9571433986,38.0,False
塑心,perturb_032,39.6867968499,41.0,False
塞雷娅,perturb_032,74.5108060444,7.0,True
夕,perturb_032,26.8146223984,54.0,False
夜莺,perturb_032,12.5925031532,60.0,False
娜斯提,perturb_032,35.3726815002,45.0,False
年,perturb_032,17.5674402924,58.0,False
幽灵鲨,perturb_032,54.9699466287,30.0,False
归溟幽灵鲨,perturb_032,54.9667678389,31.0,False
德克萨斯,perturb_032,67.420906917,14.0,False
怒潮凛冬,perturb_032,27.3404391726,52.0,False
拉普兰德,perturb_032,45.556233194,36.0,False
斩业星熊,perturb_032,58.7076965409,27.0,False
斯卡蒂,perturb_032,47.3138649287,35.0,False
新约能天使,perturb_032,95.0490443084,1.0,True
望,perturb_032,66.0305977292,16.0,False
棘刺,perturb_032,60.5605207926,22.0,False
死芒,perturb_032,56.7655537372,28.0,False
泥岩,perturb_032,59.0199403191,25.0,False
浊心斯卡蒂,perturb_032,73.7998969741,8.0,True
温蒂,perturb_032,47.5022575297,34.0,False
焰狐龙梓兰,perturb_032,71.2674649305,12.0,False
煌,perturb_032,33.1567120981,46.0,False
玛恩纳,perturb_032,68.2226969688,13.0,False
真言,perturb_032,53.1727860885,33.0,False
纯烬艾雅法拉,perturb_032,62.9487497662,20.0,False
结城理,perturb_032,63.9280207155,19.0,False
维什戴尔,perturb_032,93.1699622615,2.0,True
维娜·维多利亚,perturb_032,64.164935894,18.0,False
缄默德克萨斯,perturb_032,36.2547054734,44.0,False
缇缇,perturb_032,31.2361256421,48.0,False
缪尔赛思,perturb_032,41.5434812711,39.0,False
能天使,perturb_032,72.7043689019,10.0,True
艾雅法拉,perturb_032,25.384292345,55.0,False
荒芜拉普兰德,perturb_032,61.5070178052,21.0,False
诗怀雅,perturb_032,27.1323937109,53.0,False
谬因,perturb_032,30.1841093165,49.0,False
贝洛内,perturb_032,41.2239484401,40.0,False
赤刃明霄陈,perturb_032,72.1359541945,11.0,False
逻各斯,perturb_032,64.5088999707,17.0,False
酒神,perturb_032,54.6506545017,32.0,False
重岳,perturb_032,56.4927617173,29.0,False
铃兰,perturb_032,29.812008453,50.0,False
银灰,perturb_032,44.6043208105,37.0,False
锏,perturb_032,32.4326768596,47.0,False
阿米娅,perturb_032,76.3617857952,5.0,True
陈,perturb_032,19.9814326693,57.0,False
霍尔海雅,perturb_032,17.3550708405,59.0,False
黍,perturb_032,38.9632410256,42.0,False
Mon3tr,perturb_033,58.9601120917,26.0,False
W,perturb_033,60.390625,24.0,False
予愿安洁莉娜,perturb_033,75.2223902373,6.0,True
令,perturb_033,63.430274635,17.0,False
伊芙利特,perturb_033,21.673987384,56.0,False
余,perturb_033,27.2098023926,53.0,False
佩佩,perturb_033,39.179647937,43.0,False
凛御银灰,perturb_033,76.8896644089,4.0,True
凯尔希,perturb_033,62.7941060989,20.0,False
凯尔希·思衡托,perturb_033,82.2454569963,3.0,True
史尔特尔,perturb_033,70.6747655605,12.0,False
司霆惊蛰,perturb_033,43.7827376683,37.0,False
塑心,perturb_033,40.6123172455,41.0,False
塞雷娅,perturb_033,74.9491627509,7.0,True
夕,perturb_033,24.8476542826,55.0,False
夜莺,perturb_033,13.8354588912,60.0,False
娜斯提,perturb_033,36.7711196008,44.0,False
年,perturb_033,16.8275507427,59.0,False
幽灵鲨,perturb_033,51.0684318488,33.0,False
归溟幽灵鲨,perturb_033,53.7708862616,32.0,False
德克萨斯,perturb_033,63.2462780971,19.0,False
怒潮凛冬,perturb_033,28.0341177645,52.0,False
拉普兰德,perturb_033,43.3214879027,38.0,False
斩业星熊,perturb_033,59.8077413783,25.0,False
斯卡蒂,perturb_033,45.5970623355,36.0,False
新约能天使,perturb_033,94.622509215,1.0,True
望,perturb_033,66.7689627569,14.0,False
棘刺,perturb_033,63.3829215741,18.0,False
死芒,perturb_033,57.6859953792,28.0,False
泥岩,perturb_033,58.8194743469,27.0,False
浊心斯卡蒂,perturb_033,72.3807579974,8.0,True
温蒂,perturb_033,45.9640397642,35.0,False
焰狐龙梓兰,perturb_033,71.4369765765,10.0,True
煌,perturb_033,30.7197663538,49.0,False
玛恩纳,perturb_033,68.6970775105,13.0,False
真言,perturb_033,53.9434374784,31.0,False
纯烬艾雅法拉,perturb_033,61.3089059751,23.0,False
结城理,perturb_033,64.747118138,16.0,False
维什戴尔,perturb_033,92.7861082836,2.0,True
维娜·维多利亚,perturb_033,62.7397848686,21.0,False
缄默德克萨斯,perturb_033,35.1910034052,45.0,False
缇缇,perturb_033,32.8481352252,46.0,False
缪尔赛思,perturb_033,41.03238188,40.0,False
能天使,perturb_033,71.3055100102,11.0,False
艾雅法拉,perturb_033,26.3886235298,54.0,False
荒芜拉普兰德,perturb_033,62.0719239861,22.0,False
诗怀雅,perturb_033,28.4995649698,51.0,False
谬因,perturb_033,31.4753659289,48.0,False
贝洛内,perturb_033,41.8916396434,39.0,False
赤刃明霄陈,perturb_033,71.6238575332,9.0,True
逻各斯,perturb_033,64.9162361523,15.0,False
酒神,perturb_033,56.3347560026,29.0,False
重岳,perturb_033,56.2997690807,30.0,False
铃兰,perturb_033,30.6899226604,50.0,False
银灰,perturb_033,46.0396038023,34.0,False
锏,perturb_033,32.6494869792,47.0,False
阿米娅,perturb_033,76.2123535897,5.0,True
陈,perturb_033,18.8917783636,57.0,False
霍尔海雅,perturb_033,18.1463277109,58.0,False
黍,perturb_033,39.2130466856,42.0,False
Mon3tr,perturb_034,59.0221843091,25.0,False
W,perturb_034,60.390625,22.0,False
予愿安洁莉娜,perturb_034,72.6217109538,7.0,True
令,perturb_034,58.9285860774,26.0,False
伊芙利特,perturb_034,23.538253981,55.0,False
余,perturb_034,25.5742564847,54.0,False
佩佩,perturb_034,42.0369249698,40.0,False
凛御银灰,perturb_034,77.7067042265,4.0,True
凯尔希,perturb_034,66.0700772208,17.0,False
凯尔希·思衡托,perturb_034,81.4173549138,3.0,True
史尔特尔,perturb_034,66.4881024038,16.0,False
司霆惊蛰,perturb_034,45.8219973684,34.0,False
塑心,perturb_034,42.8983995425,39.0,False
塞雷娅,perturb_034,75.5910331102,6.0,True
夕,perturb_034,21.9674918193,56.0,False
夜莺,perturb_034,15.6554754086,60.0,False
娜斯提,perturb_034,40.2253326041,41.0,False
年,perturb_034,15.7441564106,59.0,False
幽灵鲨,perturb_034,45.3555805176,35.0,False
归溟幽灵鲨,perturb_034,50.8169981396,32.0,False
德克萨斯,perturb_034,57.1335154509,29.0,False
怒潮凛冬,perturb_034,29.7475390528,51.0,False
拉普兰德,perturb_034,40.049228708,42.0,False
斩业星熊,perturb_034,62.5249078941,19.0,False
斯卡蒂,perturb_034,43.0832084779,38.0,False
新约能天使,perturb_034,94.2223775237,1.0,True
望,perturb_034,68.5927618072,13.0,False
棘刺,perturb_034,67.5156641041,14.0,False
死芒,perturb_034,59.9595328974,23.0,False
泥岩,perturb_034,58.5259390509,27.0,False
浊心斯卡蒂,perturb_034,70.3027625393,10.0,True
温蒂,perturb_034,43.7116814099,36.0,False
焰狐龙梓兰,perturb_034,71.8556789356,8.0,True
煌,perturb_034,27.1514321234,53.0,False
玛恩纳,perturb_034,69.3916963091,11.0,False
真言,perturb_034,55.8469854799,30.0,False
纯烬艾雅法拉,perturb_034,57.2584086783,28.0,False
结城理,perturb_034,66.7703302964,15.0,False
维什戴尔,perturb_034,92.2240443591,2.0,True
维娜·维多利亚,perturb_034,59.219589587,24.0,False
缄默德克萨斯,perturb_034,32.5636053719,48.0,False
缇缇,perturb_034,36.8298806171,45.0,False
缪尔赛思,perturb_034,39.9187884933,43.0,False
能天使,perturb_034,69.2572099698,12.0,False
艾雅法拉,perturb_034,27.8592304786,52.0,False
荒芜拉普兰德,perturb_034,61.9672667034,20.0,False
诗怀雅,perturb_034,30.5014659201,50.0,False
谬因,perturb_034,34.6648352226,46.0,False
贝洛内,perturb_034,43.5408707646,37.0,False
赤刃明霄陈,perturb_034,70.3589528187,9.0,True
逻各斯,perturb_034,65.5126842446,18.0,False
酒神,perturb_034,60.4945720866,21.0,False
重岳,perturb_034,55.8230674842,31.0,False
铃兰,perturb_034,31.9754216604,49.0,False
银灰,perturb_034,48.1412383757,33.0,False
锏,perturb_034,32.9669544374,47.0,False
阿米娅,perturb_034,75.9935452493,5.0,True
陈,perturb_034,17.2962357598,58.0,False
霍尔海雅,perturb_034,19.3049374099,57.0,False
黍,perturb_034,38.0811032937,44.0,False
Mon3tr,perturb_035,59.0374807985,26.0,False
W,perturb_035,60.390625,25.0,False
予愿安洁莉娜,perturb_035,71.9808241843,7.0,True
令,perturb_035,62.0500874073,21.0,False
伊芙利特,perturb_035,22.2455588984,56.0,False
余,perturb_035,25.1712080427,54.0,False
佩佩,perturb_035,42.7410452581,40.0,False
凛御银灰,perturb_035,77.9080477802,4.0,True
凯尔希,perturb_035,63.798496661,18.0,False
凯尔希·思衡托,perturb_035,81.5766747735,3.0,True
史尔特尔,perturb_035,69.3911629874,12.0,False
司霆惊蛰,perturb_035,46.3245332134,35.0,False
塑心,perturb_035,43.4617600104,39.0,False
塞雷娅,perturb_035,75.1459558565,6.0,True
夕,perturb_035,23.9646159749,55.0,False
夜莺,perturb_035,14.3934636308,60.0,False
娜斯提,perturb_035,41.0765561388,42.0,False
年,perturb_035,16.4953893769,59.0,False
幽灵鲨,perturb_035,49.3169103163,33.0,False
归溟幽灵鲨,perturb_035,50.0890699296,32.0,False
德克萨斯,perturb_035,61.3721464636,23.0,False
怒潮凛冬,perturb_035,30.1697783658,50.0,False
拉普兰德,perturb_035,42.3182353924,41.0,False
斩业星熊,perturb_035,63.1945006737,19.0,False
斯卡蒂,perturb_035,44.8263317658,37.0,False
新约能天使,perturb_035,94.0575376476,1.0,True
望,perturb_035,69.0422015704,13.0,False
棘刺,perturb_035,64.6499924481,17.0,False
死芒,perturb_035,60.5198019487,24.0,False
泥岩,perturb_035,58.7294784129,27.0,False
浊心斯卡蒂,perturb_035,71.7436586615,9.0,True
温蒂,perturb_035,45.273481945,36.0,False
焰狐龙梓兰,perturb_035,71.9588599791,8.0,True
煌,perturb_035,29.6257392424,51.0,False
玛恩纳,perturb_035,68.9100429304,14.0,False
真言,perturb_035,56.3160778194,29.0,False
纯烬艾雅法拉,perturb_035,56.2602424902,30.0,False
结城理,perturb_035,67.2689115371,15.0,False
维什戴尔,perturb_035,92.6137832905,2.0,True
